game	inning	pitcher	hitter	hit	type	x	y
8	Bottom	Justin Grimm	Evan Gattis	O	Flyout	159.64	97.39
9	Top	Craig Kimbrel	Ryan Kalish	O	Groundout	111.45	165.66
1	Top	Erik Bedard	Nick Swisher	O	Flyout	108.43	41.16
1	Bottom	Zach McAllister	David DeJesus	O	Pop Out	91.37	191.77
1	Bottom	Zach McAllister	Ben Zobrist	O	Groundout	145.58	156.63
1	Bottom	Zach McAllister	Evan Longoria	O	Flyout	185.74	92.37
2	Top	Erik Bedard	Carlos Santana	O	Flyout	98.39	91.37
2	Top	Erik Bedard	Ryan Raburn	H	Double	87.35	71.29
2	Top	Erik Bedard	Yan Gomes	O	Flyout	156.63	72.29
2	Bottom	Zach McAllister	James Loney	O	Groundout	125.5	179.72
2	Bottom	Zach McAllister	Wil Myers	O	Groundout	108.43	154.62
2	Bottom	Zach McAllister	Matt Joyce	O	Flyout	110.44	39.16
3	Top	Erik Bedard	David Murphy	O	Pop Out	93.37	139.56
3	Top	Erik Bedard	Jose Ramirez	O	Flyout	133.53	84.34
3	Top	Erik Bedard	Mike Aviles	O	Flyout	176.71	86.35
3	Bottom	Zach McAllister	Desmond Jennings	H	Single	79.32	93.37
